tank_ID,tankpH_treat,unit_ID,AV_control,A,B,C,D,Total_Avalida,Large_Avalida,Notes
25,reduced,16,AV,17.10.7,26.9.7,13.1.7,11.2.7,11,1,
25,reduced,17,AV,17.10.5,10.3.5,1.4.5,24.6.5,9,0,
25,reduced,18,AV,28.3.1,26.9.1,7.8.1,15.6.1,11,4,
25,reduced,19,AV,4.6.4,10.1.4,7.8.4,11.10.4,10,2,
25,reduced,46,control,28.3.10,10.3.10,13.1.10,11.10.10,NA,NA,
25,reduced,47,control,17.11.5,26.7.5,7.11.5,11.9.5,NA,NA,
25,reduced,48,control,28.11.6,10.3.6,1.1.6,11.9.6,NA,NA,
25,reduced,49,control,4.6.3,26.9.3,7.11.3,11.2.3,NA,NA,
27,reduced,20,AV,4.7.3,10.3.3,13.1.3,24.6.3,12,3,
27,reduced,21,AV,17.10.2,21.4.2,1.1.2,11.2.2,2,0,Hole in epoxy on bottom; detaching
27,reduced,22,AV,17.11.8,26.7.8,1.4.8,15.6.8,8,2,
27,reduced,23,AV,28.11.3,21.10.3,1.4.3,11.9.3,10,1,
27,reduced,50,control,17.11.2,21.10.2,7.8.2,24.11.2,NA,NA,
27,reduced,51,control,17.11.10,10.1.10,13.6.10,11.2.10,NA,NA,
27,reduced,52,control,4.6.6,26.9.6,7.8.6,11.10.6,NA,NA,
34,ambient,1,AV,28.11.2,26.7.2,7.11.2,11.10.3,8,0,"Swapped lid with #32 because mesh was detaching, other data sheets may call this #32; found fewer AV in #1 at assay start due to mesh/epoxy peeling off lid and swapped lid from a control; assay start at 13:03"
34,ambient,2,AV,17.11.6,10.1.6,13.1.6,24.6.6,11,2,
34,ambient,3,AV,4.7.9,21.10.9,13.1.9,24.11.9,10,2,
34,ambient,4,AV,17.10.10,21.4.10,7.8.10,24.6.10,2,0,4 AV on 10/26/2023; recounted at assay start due to container failure; assay start at 13:03
34,ambient,31,control,4.6.5,21.4.5,7.8.5,24.11.5,NA,NA,
34,ambient,32,control,4.7.5,10.1.5,1.1.5,11.10.5,NA,NA,"Assay start at 13:03; swapped lid with #1, may be called #1 on other data sheets"
34,ambient,33,control,17.10.9,21.4.9,1.4.9,24.6.9,NA,NA,
34,ambient,34,control,4.7.1,21.4.1,7.11.1,11.9.1,NA,NA,
36,ambient,5,AV,4.6.1,10.1.1,1.4.1,11.10.1,10,1,
36,ambient,6,AV,28.3.5,26.9.5,13.6.5,15.6.5,10,1,
36,ambient,7,AV,28.3.3,10.1.3,13.6.3,24.11.3,11,2,
36,ambient,8,AV,4.6.8,26.9.8,1.1.8,24.6.8,8,0,
36,ambient,35,control,4.6.10,21.10.10,1.4.10,15.6.10,NA,NA,
36,ambient,36,control,17.10.1,21.10.1,13.1.1,24.6.1,NA,NA,
36,ambient,37,control,28.11.4,26.9.4,7.11.4,15.6.4,NA,NA,
37,ambient,9,AV,28.3.8,21.4.8,7.11.8,11.9.8,13,2,
37,ambient,10,AV,17.11.4,26.7.4,1.1.4,24.11.4,10,0,
37,ambient,11,AV,4.7.10,26.9.10,7.11.10,24.11.10,11,1,
37,ambient,12,AV,4.6.2,26.9.2,13.6.2,15.6.2,12,1,
37,ambient,38,control,17.10.4,21.10.4,1.4.4,11.2.4,NA,NA,
37,ambient,39,control,17.11.9,26.9.9,1.1.9,11.9.9,NA,NA,
37,ambient,40,control,4.7.7,10.1.7,13.6.7,24.6.7,NA,NA,
37,ambient,41,control,28.3.7,26.7.7,7.11.7,15.6.7,NA,NA,
38,reduced,24,AV,28.11.7,21.10.7,1.1.7,11.10.7,10,2,
38,reduced,25,AV,28.11.10,26.7.10,1.1.10,11.9.10,12,1,
38,reduced,26,AV,17.11.1,26.7.1,13.6.1,24.11.1,10,0,
38,reduced,27,AV,4.6.9,10.3.9,13.6.9,15.6.9,10,0,
38,reduced,53,control,28.3.4,10.3.4,16.3.4,24.6.4,NA,NA,
38,reduced,54,control,4.6.7,21.4.7,7.8.7,24.11.7,NA,NA,
38,reduced,55,control,4.7.8,21.10.8,7.8.8,11.2.8,NA,NA,
38,reduced,56,control,28.11.1,10.3.1,1.1.1,11.2.1,NA,NA,
39,ambient,13,AV,17.11.7,10.3.7,1.4.7,11.9.7,9,0,
39,ambient,14,AV,28.3.6,26.7.6,7.11.6,15.6.6,12,0,
39,ambient,15,AV,4.7.4,21.4.4,13.1.4,11.9.4,9,0,
39,ambient,42,control,28.3.2,10.3.2,13.1.2,24.6.2,NA,NA,
39,ambient,43,control,28.11.8,10.3.8,13.1.8,11.10.8,NA,NA,
39,ambient,44,control,17.10.6,21.10.6,1.4.6,11.2.6,NA,NA,
39,ambient,45,control,17.11.3,26.7.3,1.1.3,11.10.2,NA,NA,Margot grabbed wrong one (#2 instead of #3) deemed ok b/c adjacent
40,reduced,28,AV,4.7.6,21.4.6,13.6.6,24.11.6,12,0,
40,reduced,29,AV,28.3.9,10.1.9,7.8.9,11.10.9,9,0,
40,reduced,30,AV,28.11.5,21.10.5,13.1.5,11.2.5,10,0,
40,reduced,57,control,17.10.3,21.4.3,7.8.3,15.6.3,NA,NA,
40,reduced,58,control,4.7.2,10.1.2,1.4.2,11.9.2,NA,NA,
40,reduced,59,control,28.11.9,26.7.9,7.11.9,11.2.9,NA,NA,
40,reduced,60,control,17.10.8,10.1.8,13.6.8,24.11.8,NA,NA,